image_path,mask_path,class,class_id,num_masks,use_phase1,split,fold
benign\benign (182).png,benign\benign (182)_mask.png,benign,0,1,1,train,1
benign\benign (131).png,benign\benign (131)_mask.png,benign,0,1,1,train,1
benign\benign (218).png,benign\benign (218)_mask.png,benign,0,1,1,train,1
benign\benign (410).png,benign\benign (410)_mask.png,benign,0,1,1,train,1
benign\benign (79).png,benign\benign (79)_mask.png,benign,0,1,1,train,1
malignant\malignant (124).png,malignant\malignant (124)_mask.png,malignant,1,1,1,train,1
benign\benign (147).png,benign\benign (147)_mask.png,benign,0,1,1,train,1
benign\benign (183).png,benign\benign (183)_mask.png,benign,0,1,1,train,1
malignant\malignant (110).png,malignant\malignant (110)_mask.png,malignant,1,1,1,train,1
benign\benign (46).png,benign\benign (46)_mask.png,benign,0,1,1,train,1
malignant\malignant (35).png,malignant\malignant (35)_mask.png,malignant,1,1,1,train,1
benign\benign (423).png,benign\benign (423)_mask.png,benign,0,1,1,train,1
benign\benign (376).png,benign\benign (376)_mask.png,benign,0,1,1,train,1
benign\benign (14).png,benign\benign (14)_mask.png,benign,0,1,1,train,1
malignant\malignant (95).png,malignant\malignant (95)_mask.png,malignant,1,1,1,train,1
benign\benign (127).png,benign\benign (127)_mask.png,benign,0,1,1,train,1
benign\benign (394).png,benign\benign (394)_mask.png,benign,0,1,1,train,1
malignant\malignant (130).png,malignant\malignant (130)_mask.png,malignant,1,1,1,train,1
benign\benign (287).png,benign\benign (287)_mask.png,benign,0,1,1,train,1
benign\benign (203).png,benign\benign (203)_mask.png,benign,0,1,1,train,1
benign\benign (21).png,benign\benign (21)_mask.png,benign,0,1,1,train,1
malignant\malignant (58).png,malignant\malignant (58)_mask.png,malignant,1,1,1,train,1
malignant\malignant (131).png,malignant\malignant (131)_mask.png,malignant,1,1,1,train,1
malignant\malignant (82).png,malignant\malignant (82)_mask.png,malignant,1,1,1,train,1
malignant\malignant (27).png,malignant\malignant (27)_mask.png,malignant,1,1,1,train,1
benign\benign (132).png,benign\benign (132)_mask.png,benign,0,1,1,train,1
benign\benign (63).png,benign\benign (63)_mask.png,benign,0,1,1,train,1
benign\benign (362).png,benign\benign (362)_mask.png,benign,0,1,1,train,1
benign\benign (434).png,benign\benign (434)_mask.png,benign,0,1,1,train,1
benign\benign (240).png,benign\benign (240)_mask.png,benign,0,1,1,train,1
benign\benign (75).png,benign\benign (75)_mask.png,benign,0,1,1,train,1
benign\benign (135).png,benign\benign (135)_mask.png,benign,0,1,1,train,1
benign\benign (59).png,benign\benign (59)_mask.png,benign,0,1,1,train,1
benign\benign (267).png,benign\benign (267)_mask.png,benign,0,1,1,train,1
benign\benign (316).png,benign\benign (316)_mask.png,benign,0,1,1,train,1
benign\benign (103).png,benign\benign (103)_mask.png,benign,0,1,1,train,1
benign\benign (334).png,benign\benign (334)_mask.png,benign,0,1,1,train,1
malignant\malignant (41).png,malignant\malignant (41)_mask.png,malignant,1,1,1,train,1
benign\benign (13).png,benign\benign (13)_mask.png,benign,0,1,1,train,1
malignant\malignant (115).png,malignant\malignant (115)_mask.png,malignant,1,1,1,train,1
malignant\malignant (19).png,malignant\malignant (19)_mask.png,malignant,1,1,1,train,1
benign\benign (186).png,benign\benign (186)_mask.png,benign,0,1,1,train,1
benign\benign (325).png,benign\benign (325)_mask.png,benign,0,1,1,train,1
benign\benign (198).png,benign\benign (198)_mask.png,benign,0,1,1,train,1
benign\benign (175).png,benign\benign (175)_mask.png,benign,0,1,1,train,1
benign\benign (27).png,benign\benign (27)_mask.png,benign,0,1,1,train,1
benign\benign (289).png,benign\benign (289)_mask.png,benign,0,1,1,train,1
malignant\malignant (147).png,malignant\malignant (147)_mask.png,malignant,1,1,1,train,1
malignant\malignant (85).png,malignant\malignant (85)_mask.png,malignant,1,1,1,train,1
malignant\malignant (182).png,malignant\malignant (182)_mask.png,malignant,1,1,1,train,1
malignant\malignant (38).png,malignant\malignant (38)_mask.png,malignant,1,1,1,train,1
benign\benign (235).png,benign\benign (235)_mask.png,benign,0,1,1,train,1
malignant\malignant (164).png,malignant\malignant (164)_mask.png,malignant,1,1,1,train,1
benign\benign (270).png,benign\benign (270)_mask.png,benign,0,1,1,train,1
benign\benign (110).png,benign\benign (110)_mask.png,benign,0,1,1,train,1
benign\benign (341).png,benign\benign (341)_mask.png,benign,0,1,1,train,1
benign\benign (403).png,benign\benign (403)_mask.png,benign,0,1,1,train,1
benign\benign (338).png,benign\benign (338)_mask.png,benign,0,1,1,train,1
malignant\malignant (6).png,malignant\malignant (6)_mask.png,malignant,1,1,1,train,1
benign\benign (386).png,benign\benign (386)_mask.png,benign,0,1,1,train,1
benign\benign (304).png,benign\benign (304)_mask.png,benign,0,1,1,train,1
malignant\malignant (142).png,malignant\malignant (142)_mask.png,malignant,1,1,1,train,1
benign\benign (48).png,benign\benign (48)_mask.png,benign,0,1,1,train,1
malignant\malignant (102).png,malignant\malignant (102)_mask.png,malignant,1,1,1,train,1
benign\benign (49).png,benign\benign (49)_mask.png,benign,0,1,1,train,1
benign\benign (19).png,benign\benign (19)_mask.png,benign,0,1,1,train,1
malignant\malignant (104).png,malignant\malignant (104)_mask.png,malignant,1,1,1,train,1
benign\benign (344).png,benign\benign (344)_mask.png,benign,0,1,1,train,1
benign\benign (17).png,benign\benign (17)_mask.png,benign,0,1,1,train,1
malignant\malignant (192).png,malignant\malignant (192)_mask.png,malignant,1,1,1,train,1
benign\benign (361).png,benign\benign (361)_mask.png,benign,0,1,1,train,1
benign\benign (144).png,benign\benign (144)_mask.png,benign,0,1,1,train,1
benign\benign (265).png,benign\benign (265)_mask.png,benign,0,1,1,train,1
benign\benign (354).png,benign\benign (354)_mask.png,benign,0,1,1,train,1
malignant\malignant (202).png,malignant\malignant (202)_mask.png,malignant,1,1,1,train,1
benign\benign (154).png,benign\benign (154)_mask.png,benign,0,1,1,train,1
benign\benign (342).png,benign\benign (342)_mask.png,benign,0,1,1,train,1
benign\benign (345).png,benign\benign (345)_mask.png,benign,0,1,1,train,1
benign\benign (138).png,benign\benign (138)_mask.png,benign,0,1,1,train,1
benign\benign (199).png,benign\benign (199)_mask.png,benign,0,1,1,train,1
benign\benign (160).png,benign\benign (160)_mask.png,benign,0,1,1,train,1
benign\benign (47).png,benign\benign (47)_mask.png,benign,0,1,1,train,1
malignant\malignant (113).png,malignant\malignant (113)_mask.png,malignant,1,1,1,train,1
benign\benign (15).png,benign\benign (15)_mask.png,benign,0,1,1,train,1
benign\benign (55).png,benign\benign (55)_mask.png,benign,0,1,1,train,1
malignant\malignant (159).png,malignant\malignant (159)_mask.png,malignant,1,1,1,train,1
benign\benign (221).png,benign\benign (221)_mask.png,benign,0,1,1,train,1
benign\benign (353).png,benign\benign (353)_mask.png,benign,0,1,1,train,1
malignant\malignant (76).png,malignant\malignant (76)_mask.png,malignant,1,1,1,train,1
malignant\malignant (5).png,malignant\malignant (5)_mask.png,malignant,1,1,1,train,1
malignant\malignant (196).png,malignant\malignant (196)_mask.png,malignant,1,1,1,train,1
malignant\malignant (105).png,malignant\malignant (105)_mask.png,malignant,1,1,1,train,1
malignant\malignant (187).png,malignant\malignant (187)_mask.png,malignant,1,1,1,train,1
benign\benign (400).png,benign\benign (400)_mask.png,benign,0,1,1,train,1
malignant\malignant (190).png,malignant\malignant (190)_mask.png,malignant,1,1,1,train,1
malignant\malignant (73).png,malignant\malignant (73)_mask.png,malignant,1,1,1,train,1
malignant\malignant (54).png,malignant\malignant (54)_mask.png,malignant,1,1,1,train,1
benign\benign (364).png,benign\benign (364)_mask.png,benign,0,1,1,train,1
malignant\malignant (46).png,malignant\malignant (46)_mask.png,malignant,1,1,1,train,1
benign\benign (262).png,benign\benign (262)_mask.png,benign,0,1,1,train,1
benign\benign (91).png,benign\benign (91)_mask.png,benign,0,1,1,train,1
benign\benign (377).png,benign\benign (377)_mask.png,benign,0,1,1,train,1
benign\benign (330).png,benign\benign (330)_mask.png,benign,0,1,1,train,1
benign\benign (10).png,benign\benign (10)_mask.png,benign,0,1,1,train,1
benign\benign (374).png,benign\benign (374)_mask.png,benign,0,1,1,train,1
benign\benign (29).png,benign\benign (29)_mask.png,benign,0,1,1,train,1
malignant\malignant (55).png,malignant\malignant (55)_mask.png,malignant,1,1,1,train,1
malignant\malignant (61).png,malignant\malignant (61)_mask.png,malignant,1,1,1,train,1
malignant\malignant (37).png,malignant\malignant (37)_mask.png,malignant,1,1,1,train,1
benign\benign (202).png,benign\benign (202)_mask.png,benign,0,1,1,train,1
malignant\malignant (44).png,malignant\malignant (44)_mask.png,malignant,1,1,1,train,1
benign\benign (137).png,benign\benign (137)_mask.png,benign,0,1,1,train,1
benign\benign (426).png,benign\benign (426)_mask.png,benign,0,1,1,train,1
benign\benign (318).png,benign\benign (318)_mask.png,benign,0,1,1,train,1
benign\benign (371).png,benign\benign (371)_mask.png,benign,0,1,1,train,1
benign\benign (366).png,benign\benign (366)_mask.png,benign,0,1,1,train,1
benign\benign (357).png,benign\benign (357)_mask.png,benign,0,1,1,train,1
malignant\malignant (99).png,malignant\malignant (99)_mask.png,malignant,1,1,1,train,1
benign\benign (106).png,benign\benign (106)_mask.png,benign,0,1,1,train,1
malignant\malignant (8).png,malignant\malignant (8)_mask.png,malignant,1,1,1,train,1
malignant\malignant (28).png,malignant\malignant (28)_mask.png,malignant,1,1,1,train,1
benign\benign (193).png,benign\benign (193)_mask.png,benign,0,1,1,train,1
malignant\malignant (51).png,malignant\malignant (51)_mask.png,malignant,1,1,1,train,1
malignant\malignant (9).png,malignant\malignant (9)_mask.png,malignant,1,1,1,train,1
benign\benign (53).png,benign\benign (53)_mask.png,benign,0,1,1,train,1
malignant\malignant (171).png,malignant\malignant (171)_mask.png,malignant,1,1,1,train,1
malignant\malignant (96).png,malignant\malignant (96)_mask.png,malignant,1,1,1,train,1
benign\benign (311).png,benign\benign (311)_mask.png,benign,0,1,1,train,1
benign\benign (283).png,benign\benign (283)_mask.png,benign,0,1,1,train,1
benign\benign (241).png,benign\benign (241)_mask.png,benign,0,1,1,train,1
malignant\malignant (180).png,malignant\malignant (180)_mask.png,malignant,1,1,1,train,1
benign\benign (247).png,benign\benign (247)_mask.png,benign,0,1,1,train,1
malignant\malignant (143).png,malignant\malignant (143)_mask.png,malignant,1,1,1,train,1
malignant\malignant (119).png,malignant\malignant (119)_mask.png,malignant,1,1,1,train,1
benign\benign (429).png,benign\benign (429)_mask.png,benign,0,1,1,train,1
benign\benign (411).png,benign\benign (411)_mask.png,benign,0,1,1,train,1
benign\benign (327).png,benign\benign (327)_mask.png,benign,0,1,1,train,1
benign\benign (406).png,benign\benign (406)_mask.png,benign,0,1,1,train,1
malignant\malignant (14).png,malignant\malignant (14)_mask.png,malignant,1,1,1,train,1
benign\benign (385).png,benign\benign (385)_mask.png,benign,0,1,1,train,1
benign\benign (258).png,benign\benign (258)_mask.png,benign,0,1,1,train,1
malignant\malignant (203).png,malignant\malignant (203)_mask.png,malignant,1,1,1,train,1
benign\benign (130).png,benign\benign (130)_mask.png,benign,0,1,1,train,1
malignant\malignant (65).png,malignant\malignant (65)_mask.png,malignant,1,1,1,train,1
malignant\malignant (17).png,malignant\malignant (17)_mask.png,malignant,1,1,1,train,1
benign\benign (72).png,benign\benign (72)_mask.png,benign,0,1,1,train,1
benign\benign (210).png,benign\benign (210)_mask.png,benign,0,1,1,train,1
malignant\malignant (165).png,malignant\malignant (165)_mask.png,malignant,1,1,1,train,1
benign\benign (352).png,benign\benign (352)_mask.png,benign,0,1,1,train,1
benign\benign (335).png,benign\benign (335)_mask.png,benign,0,1,1,train,1
benign\benign (94).png,benign\benign (94)_mask.png,benign,0,1,1,train,1
benign\benign (22).png,benign\benign (22)_mask.png,benign,0,1,1,train,1
benign\benign (306).png,benign\benign (306)_mask.png,benign,0,1,1,train,1
malignant\malignant (50).png,malignant\malignant (50)_mask.png,malignant,1,1,1,train,1
benign\benign (260).png,benign\benign (260)_mask.png,benign,0,1,1,train,1
benign\benign (159).png,benign\benign (159)_mask.png,benign,0,1,1,train,1
malignant\malignant (10).png,malignant\malignant (10)_mask.png,malignant,1,1,1,train,1
malignant\malignant (107).png,malignant\malignant (107)_mask.png,malignant,1,1,1,train,1
benign\benign (319).png,benign\benign (319)_mask.png,benign,0,1,1,train,1
benign\benign (295).png,benign\benign (295)_mask.png,benign,0,1,1,train,1
malignant\malignant (156).png,malignant\malignant (156)_mask.png,malignant,1,1,1,train,1
benign\benign (303).png,benign\benign (303)_mask.png,benign,0,1,1,train,1
malignant\malignant (67).png,malignant\malignant (67)_mask.png,malignant,1,1,1,train,1
benign\benign (102).png,benign\benign (102)_mask.png,benign,0,1,1,train,1
benign\benign (76).png,benign\benign (76)_mask.png,benign,0,1,1,train,1
benign\benign (299).png,benign\benign (299)_mask.png,benign,0,1,1,train,1
benign\benign (286).png,benign\benign (286)_mask.png,benign,0,1,1,train,1
benign\benign (189).png,benign\benign (189)_mask.png,benign,0,1,1,train,1
benign\benign (291).png,benign\benign (291)_mask.png,benign,0,1,1,train,1
malignant\malignant (56).png,malignant\malignant (56)_mask.png,malignant,1,1,1,train,1
malignant\malignant (30).png,malignant\malignant (30)_mask.png,malignant,1,1,1,train,1
benign\benign (290).png,benign\benign (290)_mask.png,benign,0,1,1,train,1
benign\benign (428).png,benign\benign (428)_mask.png,benign,0,1,1,train,1
benign\benign (314).png,benign\benign (314)_mask.png,benign,0,1,1,train,1
benign\benign (236).png,benign\benign (236)_mask.png,benign,0,1,1,train,1
malignant\malignant (160).png,malignant\malignant (160)_mask.png,malignant,1,1,1,train,1
benign\benign (12).png,benign\benign (12)_mask.png,benign,0,1,1,train,1
benign\benign (45).png,benign\benign (45)_mask.png,benign,0,1,1,train,1
malignant\malignant (188).png,malignant\malignant (188)_mask.png,malignant,1,1,1,train,1
malignant\malignant (128).png,malignant\malignant (128)_mask.png,malignant,1,1,1,train,1
malignant\malignant (191).png,malignant\malignant (191)_mask.png,malignant,1,1,1,train,1
benign\benign (157).png,benign\benign (157)_mask.png,benign,0,1,1,train,1
malignant\malignant (63).png,malignant\malignant (63)_mask.png,malignant,1,1,1,train,1
malignant\malignant (172).png,malignant\malignant (172)_mask.png,malignant,1,1,1,train,1
benign\benign (18).png,benign\benign (18)_mask.png,benign,0,1,1,train,1
malignant\malignant (200).png,malignant\malignant (200)_mask.png,malignant,1,1,1,train,1
benign\benign (134).png,benign\benign (134)_mask.png,benign,0,1,1,train,1
benign\benign (117).png,benign\benign (117)_mask.png,benign,0,1,1,train,1
benign\benign (39).png,benign\benign (39)_mask.png,benign,0,1,1,train,1
benign\benign (191).png,benign\benign (191)_mask.png,benign,0,1,1,train,1
malignant\malignant (121).png,malignant\malignant (121)_mask.png,malignant,1,1,1,train,1
malignant\malignant (198).png,malignant\malignant (198)_mask.png,malignant,1,1,1,train,1
benign\benign (419).png,benign\benign (419)_mask.png,benign,0,1,1,train,1
benign\benign (229).png,benign\benign (229)_mask.png,benign,0,1,1,train,1
benign\benign (81).png,benign\benign (81)_mask.png,benign,0,1,1,train,1
benign\benign (32).png,benign\benign (32)_mask.png,benign,0,1,1,train,1
benign\benign (256).png,benign\benign (256)_mask.png,benign,0,1,1,train,1
benign\benign (435).png,benign\benign (435)_mask.png,benign,0,1,1,train,1
benign\benign (294).png,benign\benign (294)_mask.png,benign,0,1,1,train,1
malignant\malignant (69).png,malignant\malignant (69)_mask.png,malignant,1,1,1,train,1
benign\benign (28).png,benign\benign (28)_mask.png,benign,0,1,1,train,1
benign\benign (321).png,benign\benign (321)_mask.png,benign,0,1,1,train,1
malignant\malignant (136).png,malignant\malignant (136)_mask.png,malignant,1,1,1,train,1
benign\benign (207).png,benign\benign (207)_mask.png,benign,0,1,1,train,1
benign\benign (120).png,benign\benign (120)_mask.png,benign,0,1,1,train,1
benign\benign (171).png,benign\benign (171)_mask.png,benign,0,1,1,train,1
benign\benign (343).png,benign\benign (343)_mask.png,benign,0,1,1,train,1
malignant\malignant (57).png,malignant\malignant (57)_mask.png,malignant,1,1,1,train,1
benign\benign (187).png,benign\benign (187)_mask.png,benign,0,1,1,train,1
benign\benign (16).png,benign\benign (16)_mask.png,benign,0,1,1,train,1
malignant\malignant (137).png,malignant\malignant (137)_mask.png,malignant,1,1,1,train,1
benign\benign (121).png,benign\benign (121)_mask.png,benign,0,1,1,train,1
malignant\malignant (146).png,malignant\malignant (146)_mask.png,malignant,1,1,1,train,1
malignant\malignant (89).png,malignant\malignant (89)_mask.png,malignant,1,1,1,train,1
benign\benign (276).png,benign\benign (276)_mask.png,benign,0,1,1,train,1
malignant\malignant (154).png,malignant\malignant (154)_mask.png,malignant,1,1,1,train,1
benign\benign (167).png,benign\benign (167)_mask.png,benign,0,1,1,train,1
benign\benign (379).png,benign\benign (379)_mask.png,benign,0,1,1,train,1
benign\benign (36).png,benign\benign (36)_mask.png,benign,0,1,1,train,1
malignant\malignant (181).png,malignant\malignant (181)_mask.png,malignant,1,1,1,train,1
benign\benign (124).png,benign\benign (124)_mask.png,benign,0,1,1,train,1
benign\benign (409).png,benign\benign (409)_mask.png,benign,0,1,1,train,1
benign\benign (122).png,benign\benign (122)_mask.png,benign,0,1,1,train,1
benign\benign (231).png,benign\benign (231)_mask.png,benign,0,1,1,train,1
benign\benign (62).png,benign\benign (62)_mask.png,benign,0,1,1,train,1
benign\benign (20).png,benign\benign (20)_mask.png,benign,0,1,1,train,1
benign\benign (302).png,benign\benign (302)_mask.png,benign,0,1,1,train,1
benign\benign (271).png,benign\benign (271)_mask.png,benign,0,1,1,train,1
benign\benign (301).png,benign\benign (301)_mask.png,benign,0,1,1,train,1
benign\benign (177).png,benign\benign (177)_mask.png,benign,0,1,1,train,1
benign\benign (61).png,benign\benign (61)_mask.png,benign,0,1,1,train,1
benign\benign (95).png,benign\benign (95)_mask.png,benign,0,1,1,train,1
benign\benign (380).png,benign\benign (380)_mask.png,benign,0,1,1,train,1
benign\benign (266).png,benign\benign (266)_mask.png,benign,0,1,1,train,1
benign\benign (166).png,benign\benign (166)_mask.png,benign,0,1,1,train,1
malignant\malignant (170).png,malignant\malignant (170)_mask.png,malignant,1,1,1,train,1
malignant\malignant (144).png,malignant\malignant (144)_mask.png,malignant,1,1,1,train,1
benign\benign (68).png,benign\benign (68)_mask.png,benign,0,1,1,train,1
benign\benign (268).png,benign\benign (268)_mask.png,benign,0,1,1,train,1
malignant\malignant (117).png,malignant\malignant (117)_mask.png,malignant,1,1,1,train,1
benign\benign (169).png,benign\benign (169)_mask.png,benign,0,1,1,train,1
benign\benign (87).png,benign\benign (87)_mask.png,benign,0,1,1,train,1
benign\benign (5).png,benign\benign (5)_mask.png,benign,0,1,1,train,1
benign\benign (249).png,benign\benign (249)_mask.png,benign,0,1,1,train,1
benign\benign (284).png,benign\benign (284)_mask.png,benign,0,1,1,train,1
benign\benign (227).png,benign\benign (227)_mask.png,benign,0,1,1,train,1
malignant\malignant (101).png,malignant\malignant (101)_mask.png,malignant,1,1,1,train,1
benign\benign (174).png,benign\benign (174)_mask.png,benign,0,1,1,train,1
benign\benign (244).png,benign\benign (244)_mask.png,benign,0,1,1,train,1
benign\benign (188).png,benign\benign (188)_mask.png,benign,0,1,1,train,1
malignant\malignant (79).png,malignant\malignant (79)_mask.png,malignant,1,1,1,train,1
