image_path,mask_path,class,class_id,num_masks,use_phase1,split
D:\Dataset_BUSI_with_GT\malignant\malignant (59).png,D:\Dataset_BUSI_with_GT\malignant\malignant (59)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (44).png,D:\Dataset_BUSI_with_GT\benign\benign (44)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (15).png,D:\Dataset_BUSI_with_GT\malignant\malignant (15)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (194).png,D:\Dataset_BUSI_with_GT\benign\benign (194)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (329).png,D:\Dataset_BUSI_with_GT\benign\benign (329)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (392).png,D:\Dataset_BUSI_with_GT\benign\benign (392)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (110).png,D:\Dataset_BUSI_with_GT\benign\benign (110)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (239).png,D:\Dataset_BUSI_with_GT\benign\benign (239)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (305).png,D:\Dataset_BUSI_with_GT\benign\benign (305)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (423).png,D:\Dataset_BUSI_with_GT\benign\benign (423)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (128).png,D:\Dataset_BUSI_with_GT\benign\benign (128)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (48).png,D:\Dataset_BUSI_with_GT\malignant\malignant (48)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (323).png,D:\Dataset_BUSI_with_GT\benign\benign (323)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (195).png,D:\Dataset_BUSI_with_GT\malignant\malignant (195)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (125).png,D:\Dataset_BUSI_with_GT\benign\benign (125)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (73).png,D:\Dataset_BUSI_with_GT\benign\benign (73)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (407).png,D:\Dataset_BUSI_with_GT\benign\benign (407)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (187).png,D:\Dataset_BUSI_with_GT\malignant\malignant (187)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (288).png,D:\Dataset_BUSI_with_GT\benign\benign (288)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (367).png,D:\Dataset_BUSI_with_GT\benign\benign (367)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (208).png,D:\Dataset_BUSI_with_GT\benign\benign (208)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (156).png,D:\Dataset_BUSI_with_GT\malignant\malignant (156)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (131).png,D:\Dataset_BUSI_with_GT\benign\benign (131)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (101).png,D:\Dataset_BUSI_with_GT\benign\benign (101)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (246).png,D:\Dataset_BUSI_with_GT\benign\benign (246)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (199).png,D:\Dataset_BUSI_with_GT\malignant\malignant (199)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (396).png,D:\Dataset_BUSI_with_GT\benign\benign (396)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (172).png,D:\Dataset_BUSI_with_GT\malignant\malignant (172)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (120).png,D:\Dataset_BUSI_with_GT\malignant\malignant (120)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (204).png,D:\Dataset_BUSI_with_GT\benign\benign (204)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (206).png,D:\Dataset_BUSI_with_GT\malignant\malignant (206)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (201).png,D:\Dataset_BUSI_with_GT\benign\benign (201)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (148).png,D:\Dataset_BUSI_with_GT\malignant\malignant (148)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (251).png,D:\Dataset_BUSI_with_GT\benign\benign (251)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (125).png,D:\Dataset_BUSI_with_GT\malignant\malignant (125)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (23).png,D:\Dataset_BUSI_with_GT\benign\benign (23)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (397).png,D:\Dataset_BUSI_with_GT\benign\benign (397)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (217).png,D:\Dataset_BUSI_with_GT\benign\benign (217)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (200).png,D:\Dataset_BUSI_with_GT\benign\benign (200)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (137).png,D:\Dataset_BUSI_with_GT\benign\benign (137)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (2).png,D:\Dataset_BUSI_with_GT\malignant\malignant (2)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (218).png,D:\Dataset_BUSI_with_GT\benign\benign (218)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (19).png,D:\Dataset_BUSI_with_GT\benign\benign (19)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (351).png,D:\Dataset_BUSI_with_GT\benign\benign (351)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (164).png,D:\Dataset_BUSI_with_GT\malignant\malignant (164)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (340).png,D:\Dataset_BUSI_with_GT\benign\benign (340)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (106).png,D:\Dataset_BUSI_with_GT\malignant\malignant (106)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (387).png,D:\Dataset_BUSI_with_GT\benign\benign (387)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (202).png,D:\Dataset_BUSI_with_GT\malignant\malignant (202)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (178).png,D:\Dataset_BUSI_with_GT\benign\benign (178)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (141).png,D:\Dataset_BUSI_with_GT\benign\benign (141)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (109).png,D:\Dataset_BUSI_with_GT\benign\benign (109)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (413).png,D:\Dataset_BUSI_with_GT\benign\benign (413)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (226).png,D:\Dataset_BUSI_with_GT\benign\benign (226)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (14).png,D:\Dataset_BUSI_with_GT\malignant\malignant (14)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (71).png,D:\Dataset_BUSI_with_GT\benign\benign (71)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (176).png,D:\Dataset_BUSI_with_GT\benign\benign (176)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (243).png,D:\Dataset_BUSI_with_GT\benign\benign (243)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (61).png,D:\Dataset_BUSI_with_GT\malignant\malignant (61)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (46).png,D:\Dataset_BUSI_with_GT\benign\benign (46)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (173).png,D:\Dataset_BUSI_with_GT\malignant\malignant (173)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (27).png,D:\Dataset_BUSI_with_GT\malignant\malignant (27)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (31).png,D:\Dataset_BUSI_with_GT\benign\benign (31)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (182).png,D:\Dataset_BUSI_with_GT\malignant\malignant (182)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (267).png,D:\Dataset_BUSI_with_GT\benign\benign (267)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (127).png,D:\Dataset_BUSI_with_GT\benign\benign (127)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (280).png,D:\Dataset_BUSI_with_GT\benign\benign (280)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (102).png,D:\Dataset_BUSI_with_GT\malignant\malignant (102)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (353).png,D:\Dataset_BUSI_with_GT\benign\benign (353)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (110).png,D:\Dataset_BUSI_with_GT\malignant\malignant (110)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (70).png,D:\Dataset_BUSI_with_GT\malignant\malignant (70)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (114).png,D:\Dataset_BUSI_with_GT\benign\benign (114)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (175).png,D:\Dataset_BUSI_with_GT\benign\benign (175)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (309).png,D:\Dataset_BUSI_with_GT\benign\benign (309)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (408).png,D:\Dataset_BUSI_with_GT\benign\benign (408)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (375).png,D:\Dataset_BUSI_with_GT\benign\benign (375)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (422).png,D:\Dataset_BUSI_with_GT\benign\benign (422)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (62).png,D:\Dataset_BUSI_with_GT\malignant\malignant (62)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (282).png,D:\Dataset_BUSI_with_GT\benign\benign (282)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (64).png,D:\Dataset_BUSI_with_GT\malignant\malignant (64)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (113).png,D:\Dataset_BUSI_with_GT\benign\benign (113)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (60).png,D:\Dataset_BUSI_with_GT\malignant\malignant (60)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (132).png,D:\Dataset_BUSI_with_GT\benign\benign (132)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (161).png,D:\Dataset_BUSI_with_GT\benign\benign (161)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (82).png,D:\Dataset_BUSI_with_GT\malignant\malignant (82)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (362).png,D:\Dataset_BUSI_with_GT\benign\benign (362)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (434).png,D:\Dataset_BUSI_with_GT\benign\benign (434)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (164).png,D:\Dataset_BUSI_with_GT\benign\benign (164)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (300).png,D:\Dataset_BUSI_with_GT\benign\benign (300)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (232).png,D:\Dataset_BUSI_with_GT\benign\benign (232)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (54).png,D:\Dataset_BUSI_with_GT\malignant\malignant (54)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (310).png,D:\Dataset_BUSI_with_GT\benign\benign (310)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (265).png,D:\Dataset_BUSI_with_GT\benign\benign (265)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (316).png,D:\Dataset_BUSI_with_GT\benign\benign (316)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (216).png,D:\Dataset_BUSI_with_GT\benign\benign (216)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (66).png,D:\Dataset_BUSI_with_GT\benign\benign (66)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (149).png,D:\Dataset_BUSI_with_GT\malignant\malignant (149)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (66).png,D:\Dataset_BUSI_with_GT\malignant\malignant (66)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (140).png,D:\Dataset_BUSI_with_GT\benign\benign (140)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (115).png,D:\Dataset_BUSI_with_GT\benign\benign (115)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (281).png,D:\Dataset_BUSI_with_GT\benign\benign (281)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (79).png,D:\Dataset_BUSI_with_GT\benign\benign (79)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (255).png,D:\Dataset_BUSI_with_GT\benign\benign (255)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (57).png,D:\Dataset_BUSI_with_GT\benign\benign (57)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (183).png,D:\Dataset_BUSI_with_GT\benign\benign (183)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (85).png,D:\Dataset_BUSI_with_GT\benign\benign (85)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (368).png,D:\Dataset_BUSI_with_GT\benign\benign (368)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (33).png,D:\Dataset_BUSI_with_GT\benign\benign (33)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (304).png,D:\Dataset_BUSI_with_GT\benign\benign (304)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (381).png,D:\Dataset_BUSI_with_GT\benign\benign (381)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (5).png,D:\Dataset_BUSI_with_GT\malignant\malignant (5)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (13).png,D:\Dataset_BUSI_with_GT\malignant\malignant (13)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (84).png,D:\Dataset_BUSI_with_GT\benign\benign (84)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (39).png,D:\Dataset_BUSI_with_GT\malignant\malignant (39)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (287).png,D:\Dataset_BUSI_with_GT\benign\benign (287)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (188).png,D:\Dataset_BUSI_with_GT\malignant\malignant (188)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (153).png,D:\Dataset_BUSI_with_GT\benign\benign (153)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (111).png,D:\Dataset_BUSI_with_GT\malignant\malignant (111)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (341).png,D:\Dataset_BUSI_with_GT\benign\benign (341)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (403).png,D:\Dataset_BUSI_with_GT\benign\benign (403)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (206).png,D:\Dataset_BUSI_with_GT\benign\benign (206)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (386).png,D:\Dataset_BUSI_with_GT\benign\benign (386)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (77).png,D:\Dataset_BUSI_with_GT\benign\benign (77)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (223).png,D:\Dataset_BUSI_with_GT\benign\benign (223)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (179).png,D:\Dataset_BUSI_with_GT\benign\benign (179)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (198).png,D:\Dataset_BUSI_with_GT\benign\benign (198)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (178).png,D:\Dataset_BUSI_with_GT\malignant\malignant (178)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (198).png,D:\Dataset_BUSI_with_GT\malignant\malignant (198)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (48).png,D:\Dataset_BUSI_with_GT\benign\benign (48)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (197).png,D:\Dataset_BUSI_with_GT\malignant\malignant (197)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (44).png,D:\Dataset_BUSI_with_GT\malignant\malignant (44)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (278).png,D:\Dataset_BUSI_with_GT\benign\benign (278)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (293).png,D:\Dataset_BUSI_with_GT\benign\benign (293)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (292).png,D:\Dataset_BUSI_with_GT\benign\benign (292)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (75).png,D:\Dataset_BUSI_with_GT\malignant\malignant (75)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (399).png,D:\Dataset_BUSI_with_GT\benign\benign (399)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (170).png,D:\Dataset_BUSI_with_GT\benign\benign (170)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (59).png,D:\Dataset_BUSI_with_GT\benign\benign (59)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (185).png,D:\Dataset_BUSI_with_GT\malignant\malignant (185)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (52).png,D:\Dataset_BUSI_with_GT\malignant\malignant (52)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (344).png,D:\Dataset_BUSI_with_GT\benign\benign (344)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (405).png,D:\Dataset_BUSI_with_GT\benign\benign (405)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (17).png,D:\Dataset_BUSI_with_GT\benign\benign (17)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (181).png,D:\Dataset_BUSI_with_GT\malignant\malignant (181)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (427).png,D:\Dataset_BUSI_with_GT\benign\benign (427)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (203).png,D:\Dataset_BUSI_with_GT\benign\benign (203)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (115).png,D:\Dataset_BUSI_with_GT\malignant\malignant (115)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (383).png,D:\Dataset_BUSI_with_GT\benign\benign (383)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (363).png,D:\Dataset_BUSI_with_GT\benign\benign (363)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (79).png,D:\Dataset_BUSI_with_GT\malignant\malignant (79)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (207).png,D:\Dataset_BUSI_with_GT\malignant\malignant (207)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (131).png,D:\Dataset_BUSI_with_GT\malignant\malignant (131)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (269).png,D:\Dataset_BUSI_with_GT\benign\benign (269)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (345).png,D:\Dataset_BUSI_with_GT\benign\benign (345)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (121).png,D:\Dataset_BUSI_with_GT\malignant\malignant (121)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (138).png,D:\Dataset_BUSI_with_GT\benign\benign (138)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (213).png,D:\Dataset_BUSI_with_GT\benign\benign (213)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (47).png,D:\Dataset_BUSI_with_GT\benign\benign (47)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (193).png,D:\Dataset_BUSI_with_GT\malignant\malignant (193)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (15).png,D:\Dataset_BUSI_with_GT\benign\benign (15)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (180).png,D:\Dataset_BUSI_with_GT\malignant\malignant (180)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (247).png,D:\Dataset_BUSI_with_GT\benign\benign (247)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (221).png,D:\Dataset_BUSI_with_GT\benign\benign (221)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (108).png,D:\Dataset_BUSI_with_GT\benign\benign (108)_mask.png,benign,0,1,1,train
